rainfall,aqi,temperature,civic_event,label
13.43,229.06,33.15,0,2
2.43,32.44,31.33,0,0
23.73,63.73,21.96,0,3
2.59,66.89,34.78,0,0
1.28,107.87,33.92,1,3
1.53,50.73,27.11,0,0
1.6,26.07,33.33,0,0
1.23,207.2,29.41,0,1
20.51,407.96,20.04,0,4
2.6,33.11,22.84,0,0
2.48,64.91,29.62,0,0
1.42,37.58,26.37,0,0
6.7,34.17,31.16,0,1
0.96,86.33,23.06,0,0
0.24,60.75,42.03,0,1
0.17,32.58,27.26,0,0
0.48,56.39,27.17,0,0
10.92,173.58,35.5,0,2
0.67,87.1,41.35,0,1
0.86,45.27,31.29,0,0
2.28,69.43,26.69,0,0
2.11,60.45,33.29,0,0
36.09,344.47,22.21,0,4
2.85,91.34,33.37,0,0
26.36,388.34,22.29,0,4
2.3,48.59,32.81,0,0
28.91,86.78,21.33,0,3
0.42,25.12,31.83,0,0
0.0,19.12,32.63,0,0
8.57,52.83,28.11,0,1
2.1,62.41,22.39,0,0
1.71,86.93,22.57,0,0
0.64,190.88,31.75,0,1
1.21,190.44,26.52,0,1
1.51,77.49,24.3,0,0
10.82,188.63,35.32,0,2
1.37,61.69,27.96,0,0
2.22,70.77,30.31,0,0
3.99,103.21,27.8,1,3
9.5,208.63,36.12,0,2
7.98,226.04,37.38,0,2
0.99,94.75,34.79,0,0
0.8,192.24,26.25,0,1
0.26,96.5,31.77,0,0
0.15,188.83,27.65,0,1
2.81,73.67,34.08,0,0
1.79,205.18,30.25,0,1
2.26,23.98,26.52,0,0
1.08,43.01,32.0,0,0
2.54,87.95,28.38,0,0
1.73,84.78,25.76,0,0
1.81,67.68,29.63,1,3
6.62,25.57,32.06,0,1
0.0,407.3,25.65,0,3
1.27,70.65,26.26,0,0
0.0,139.51,42.69,0,1
0.48,209.39,25.18,0,1
12.43,184.14,35.82,0,2
1.73,74.55,31.29,0,0
21.82,181.18,28.3,1,4
2.51,93.2,31.17,0,0
0.28,60.82,29.15,0,0
9.88,93.29,26.18,0,1
13.49,197.02,37.74,0,2
1.23,163.7,32.87,0,1
0.48,47.45,29.25,0,0
0.0,78.93,44.44,0,1
9.5,183.56,35.72,0,2
1.34,28.63,25.3,0,0
1.28,93.78,23.31,0,0
0.89,45.85,32.03,0,0
1.95,97.64,30.01,0,0
1.19,74.15,31.03,0,0
2.17,61.8,34.75,0,0
0.0,123.01,41.57,0,1
32.08,449.81,27.27,0,4
8.54,198.85,33.15,0,2
13.27,182.95,33.91,0,2
7.35,237.05,36.4,0,2
1.81,212.2,26.06,0,1
1.84,97.48,29.86,0,0
2.45,26.51,33.46,0,0
25.89,109.76,33.58,1,4
1.05,37.67,25.19,0,0
16.84,242.66,33.04,1,4
7.15,209.94,31.45,0,2
11.35,228.15,32.04,0,2
2.74,92.23,27.93,0,0
1.49,59.54,32.68,0,0
7.5,216.43,31.09,0,2
1.2,21.58,32.78,0,0
0.82,76.68,41.52,0,1
2.49,87.13,23.76,0,0
0.61,90.67,31.8,0,0
11.48,44.26,25.14,0,1
0.14,25.92,29.42,0,0
20.84,393.89,25.13,0,4
1.1,179.73,31.88,0,1
0.93,68.32,26.44,0,0
2.13,87.53,27.65,0,0
0.38,214.7,29.14,0,1
2.0,66.34,23.64,0,0
18.79,332.68,20.87,0,4
1.39,34.75,29.61,0,0
35.16,339.48,25.58,0,4
1.19,98.67,42.62,0,1
36.34,350.14,25.2,0,4
0.0,62.48,43.08,0,1
0.07,70.52,42.95,0,1
8.78,165.74,34.93,0,2
2.38,35.67,25.89,0,0
2.29,37.59,25.7,0,0
6.09,66.48,33.1,0,1
0.74,78.95,26.87,1,3
25.58,36.8,21.58,0,3
29.77,191.51,26.28,1,4
18.33,68.63,27.21,0,3
1.89,44.8,23.4,0,0
9.44,25.59,26.82,0,1
1.77,22.29,24.7,0,0
1.44,23.41,41.66,0,1
1.75,175.02,30.89,0,1
2.26,46.58,25.24,0,0
1.35,196.6,27.98,0,1
1.01,41.55,23.01,0,0
3.86,89.83,31.76,1,3
0.0,60.6,42.28,0,1
1.06,94.11,22.96,0,0
8.14,74.16,34.73,0,1
13.19,171.78,31.45,0,2
0.0,360.34,28.5,0,3
1.57,31.7,24.76,0,0
1.38,57.02,33.33,0,0
0.0,93.15,42.48,0,1
2.23,81.88,33.32,0,0
0.47,44.34,27.47,0,0
12.31,238.73,33.03,0,2
1.63,84.73,30.59,0,0
0.67,182.65,29.7,0,1
1.77,81.69,25.35,0,0
11.7,202.05,32.6,0,2
0.0,375.18,27.83,0,3
1.02,203.36,29.57,0,1
0.37,26.59,22.28,0,0
1.73,218.97,29.96,0,1
1.04,69.23,29.9,0,0
1.03,69.81,29.21,0,0
13.59,222.37,32.43,0,2
10.15,222.21,37.09,0,2
0.72,51.77,22.67,0,0
12.25,187.63,33.72,0,2
1.36,94.19,42.16,0,1
0.06,41.95,22.82,0,0
0.56,49.42,27.19,0,0
1.96,51.84,33.61,0,0
1.23,80.96,28.43,0,0
42.36,386.16,26.26,0,4
2.57,50.66,26.62,0,0
10.59,186.99,30.46,0,2
2.32,93.26,24.19,0,0
0.58,186.93,32.36,0,1
2.34,32.23,31.87,0,0
0.63,183.31,27.75,0,1
