distance_to_zone_km,claim_frequency_30d,avg_claim_amount_30d,hours_since_last_claim,device_id_match,gps_trajectory_score,event_cluster_count,is_anomaly
1.75,0,1070.83,571,1,0.99,15,0
0.85,0,667.67,408,1,0.91,21,0
0.32,0,744.78,234,1,0.93,18,0
0.26,0,578.77,520,1,0.76,16,0
0.04,0,693.8,330,1,0.96,24,0
0.78,1,1182.8,663,1,0.92,19,0
2.82,1,724.95,258,1,0.86,19,0
0.2,0,491.66,692,1,0.77,14,0
0.1,0,256.63,558,1,0.96,10,0
0.17,0,240.58,698,1,0.95,13,0
0.35,0,895.65,646,1,0.92,13,0
0.6,0,238.28,626,1,0.76,19,0
1.26,1,985.7,669,1,0.82,8,0
0.12,0,203.54,600,1,0.87,19,0
0.08,1,1075.17,393,1,0.77,21,0
1.44,0,991.86,63,1,0.79,13,0
0.08,0,998.47,399,1,0.85,21,0
0.75,0,450.91,122,1,0.88,23,0
0.11,0,274.15,694,1,0.97,9,0
0.11,0,741.48,488,1,0.79,16,0
0.62,0,1125.81,331,1,0.89,23,0
0.48,0,872.62,219,1,0.99,19,0
0.61,0,975.07,586,1,0.88,12,0
0.72,0,866.07,293,1,0.82,19,0
0.41,0,808.57,482,1,0.83,22,0
0.25,0,338.29,403,1,0.76,3,0
2.75,0,1140.57,692,1,0.88,16,0
3.5,0,379.29,315,1,0.97,6,0
0.09,0,913.42,396,1,0.95,11,0
0.4,0,312.01,524,1,0.79,23,0
2.4,0,1076.57,367,1,0.92,24,0
1.62,0,553.28,411,1,0.8,21,0
0.34,0,980.65,583,1,0.86,20,0
0.18,0,262.88,598,1,0.87,20,0
0.17,1,507.1,324,1,0.95,6,0
1.37,0,700.04,157,1,0.85,22,0
2.05,2,543.44,185,1,0.94,19,0
0.0,1,1109.09,60,1,0.89,22,0
0.32,0,1186.08,284,1,0.86,15,0
0.48,1,1170.34,465,1,0.89,22,0
0.65,0,1160.28,364,1,0.95,17,0
0.22,0,1042.51,605,1,0.81,3,0
0.55,0,897.11,503,1,0.87,23,0
1.8,0,588.06,710,1,0.79,20,0
0.2,1,444.42,569,1,0.85,9,0
1.73,0,1111.81,352,1,0.87,9,0
1.08,0,239.72,430,1,0.96,10,0
0.0,0,368.97,74,1,0.86,22,0
1.77,0,1198.13,64,1,0.78,4,0
1.81,0,253.13,193,1,0.95,18,0
2.94,1,426.11,534,1,0.87,22,0
0.36,0,1019.25,436,1,0.83,7,0
0.13,0,909.93,579,1,0.76,18,0
1.11,1,716.27,94,1,0.9,9,0
0.1,0,637.2,330,1,0.79,5,0
0.76,0,941.2,287,1,0.8,12,0
0.33,0,431.48,238,1,0.95,4,0
0.12,0,373.07,50,1,0.96,9,0
1.49,0,651.86,534,1,0.87,8,0
0.53,0,659.45,368,1,0.96,24,0
2.35,0,590.12,385,1,0.82,13,0
2.8,1,1054.42,385,1,0.99,21,0
0.32,2,789.82,287,1,1.0,20,0
2.46,0,613.26,634,1,0.9,5,0
0.38,0,690.53,131,1,0.86,23,0
0.03,1,230.57,192,1,0.89,7,0
0.98,0,776.08,403,1,0.83,23,0
0.08,0,1012.65,663,1,0.98,10,0
2.08,0,626.9,498,1,0.77,8,0
0.52,0,453.44,247,1,0.81,9,0
0.24,0,482.29,384,1,0.83,21,0
0.26,0,375.16,554,1,0.94,23,0
0.2,1,1114.21,405,1,0.88,7,0
0.72,0,870.17,435,1,0.78,9,0
0.53,0,478.26,658,1,0.8,15,0
1.98,0,405.67,355,1,0.8,4,0
0.64,1,1097.11,223,1,0.75,13,0
0.37,0,1036.59,471,1,0.87,17,0
0.32,0,1071.58,385,1,0.96,10,0
0.98,0,1193.06,703,1,0.78,6,0
0.22,1,826.67,129,1,0.83,11,0
0.6,0,1054.02,640,1,0.96,5,0
0.47,1,692.22,387,1,0.99,3,0
0.67,0,535.93,345,1,0.89,20,0
2.15,0,1088.11,548,1,0.76,14,0
0.69,2,447.22,494,1,0.89,17,0
0.46,0,420.2,422,1,1.0,14,0
0.51,0,716.87,204,1,0.83,18,0
0.16,0,1022.14,427,1,0.85,14,0
0.55,1,562.19,416,1,0.87,12,0
1.52,1,900.96,489,1,0.93,23,0
1.42,0,753.11,360,1,0.98,15,0
1.75,0,861.2,423,1,0.93,7,0
0.19,2,562.15,112,1,0.95,3,0
0.44,0,295.97,52,1,1.0,18,0
0.69,0,952.74,66,1,0.93,11,0
1.27,0,396.52,538,1,0.76,12,0
0.46,0,239.18,447,1,0.77,17,0
0.06,0,597.83,70,1,0.87,3,0
0.33,0,609.38,671,1,0.84,20,0
1.36,1,201.74,207,1,0.76,22,0
1.37,0,834.63,507,1,0.93,18,0
1.11,0,607.27,471,1,0.81,14,0
0.8,0,1044.01,251,1,0.88,24,0
0.27,1,1128.49,660,1,1.0,10,0
0.46,0,443.53,473,1,0.98,21,0
0.72,0,889.28,52,1,0.93,15,0
0.09,0,578.53,480,1,0.94,9,0
0.17,0,302.36,578,1,0.89,11,0
1.06,0,1191.21,54,1,0.77,5,0
1.73,0,261.71,400,1,0.91,19,0
0.08,0,975.89,436,1,0.84,10,0
0.46,0,880.64,383,1,0.92,22,0
0.63,0,271.38,340,1,0.85,23,0
1.23,1,303.76,383,1,0.91,7,0
1.01,0,618.0,51,1,0.94,12,0
0.2,1,415.79,305,1,0.85,7,0
0.44,1,527.7,572,1,0.79,4,0
0.53,0,1058.09,187,1,0.81,9,0
0.43,0,591.9,167,1,0.99,18,0
1.13,0,349.39,615,1,0.98,19,0
1.01,1,835.14,652,1,0.86,6,0
0.99,0,320.08,354,1,0.91,18,0
0.21,1,600.29,461,1,0.89,3,0
0.43,0,618.59,346,1,0.9,8,0
0.26,1,564.82,310,1,0.78,21,0
0.05,0,298.62,656,1,0.99,22,0
1.28,0,232.63,253,1,0.91,9,0
0.17,0,495.2,117,1,0.87,3,0
0.08,0,1198.79,265,1,0.84,10,0
0.44,1,1095.18,51,1,0.76,24,0
0.98,0,976.75,573,1,0.99,16,0
0.62,0,724.5,114,1,0.94,23,0
1.32,0,956.07,595,1,0.96,3,0
1.5,0,655.32,394,1,0.98,9,0
0.3,0,507.33,286,1,0.85,20,0
0.41,2,1173.26,189,1,0.97,23,0
0.53,0,707.49,609,1,0.98,12,0
0.32,2,306.42,487,1,0.98,15,0
1.74,0,792.71,420,1,1.0,10,0
3.5,1,883.21,64,1,0.77,7,0
0.67,1,895.95,641,1,0.76,24,0
0.49,0,919.72,234,1,0.9,7,0
0.78,0,506.53,309,1,0.77,19,0
0.67,0,642.08,380,1,0.97,17,0
0.04,0,856.4,688,1,0.81,3,0
0.36,0,645.71,601,1,0.92,12,0
0.57,1,1148.56,581,1,0.86,10,0
1.53,0,452.72,529,1,0.8,4,0
0.08,0,687.96,553,1,0.9,16,0
2.29,0,886.23,582,1,1.0,8,0
0.46,0,312.39,366,1,0.78,18,0
0.36,0,1157.01,204,1,0.8,6,0
0.01,1,471.21,172,1,0.85,7,0
1.49,1,536.84,650,1,0.76,22,0
0.76,0,797.16,525,1,0.96,19,0
0.52,0,761.89,61,1,0.77,7,0
0.04,1,1146.05,380,1,0.79,19,0
1.46,0,1169.33,481,1,0.99,13,0
1.4,0,308.53,398,1,0.76,21,0
0.78,0,1173.04,162,1,0.86,19,0
1.24,1,813.64,585,1,0.81,17,0
0.34,0,663.17,450,1,0.89,11,0
1.09,1,1069.21,445,0,0.92,8,0
0.04,1,787.15,512,1,0.92,17,0
0.63,1,812.97,159,1,0.87,21,0
0.13,0,1083.94,287,1,1.0,21,0
0.56,1,901.91,59,1,0.8,6,0
0.29,0,1160.26,108,1,0.97,12,0
0.4,0,992.23,331,1,0.91,24,0
0.14,0,222.99,111,1,1.0,9,0
1.99,0,776.65,312,1,0.89,20,0
0.06,0,744.51,491,1,0.76,15,0
3.5,0,544.02,481,1,0.91,11,0
0.32,0,564.02,378,1,0.96,16,0
0.82,0,518.9,447,1,0.87,18,0
1.46,0,965.74,372,1,0.79,18,0
0.3,0,462.68,496,1,0.96,3,0
0.28,0,535.8,430,1,0.84,21,0
1.69,1,1017.94,468,1,0.95,22,0
0.1,0,560.03,61,1,0.91,7,0
0.52,1,1063.08,357,1,0.85,22,0
0.23,0,298.59,312,1,0.98,12,0
0.21,0,844.28,591,1,0.94,8,0
1.39,0,288.73,65,1,0.86,6,0
0.46,1,609.99,645,1,0.86,20,0
2.11,0,818.58,384,1,0.91,21,0
0.69,0,1014.45,224,1,0.94,22,0
0.47,0,829.87,416,1,0.94,12,0
3.1,0,234.22,361,1,0.78,3,0
0.31,1,333.6,90,1,0.75,24,0
0.06,0,632.88,704,1,0.89,8,0
0.13,0,384.19,448,1,0.85,17,0
0.18,2,645.41,441,1,0.77,18,0
0.25,2,1036.71,128,1,0.91,8,0
0.0,0,870.94,104,1,0.95,20,0
0.43,0,668.34,545,1,0.93,12,0
0.14,1,381.56,447,1,0.88,10,0
1.01,0,1122.28,520,1,0.75,21,0
0.41,0,443.97,184,1,0.82,13,0
0.28,1,752.29,499,1,0.79,10,0
0.99,1,821.65,105,1,0.97,17,0
0.35,0,857.88,343,1,0.92,4,0
0.77,0,901.48,118,1,0.88,24,0
0.18,0,1152.2,587,1,0.92,14,0
0.4,2,556.09,716,1,0.93,18,0
0.11,0,977.98,438,1,0.97,13,0
0.54,1,792.91,62,1,0.99,15,0
2.02,2,410.39,124,1,0.98,13,0
