plan_enc,zone_enc,claim_history,policy_year,heat_addon,monthly_earnings,daily_hours,veh_enc,plat_enc,disruption_days_hist,zone_factor,claim_factor,loyalty_factor,base_premium,final_premium,raw_plan,raw_risk_zone,raw_vehicle_type,raw_platform
1,2,0,1,0,24858.96897504428,6.669668889112175,1,0,7,1.25,0.9,1.0,699.0,1078.12,RAKSHAK,HIGH,three_wheeler,Zomato
0,0,0,2,0,13306.638569981233,11.790044150731674,0,3,14,0.85,0.9,0.95,399.0,627.1,SAATHI,SAFE,two_wheeler,Blinkit
1,1,2,1,1,31048.61108045783,7.603994015756344,0,2,17,1.0,1.15,1.0,699.0,1308.31,RAKSHAK,MODERATE,two_wheeler,Zepto
0,1,1,3,0,22949.697012050743,5.457888702304499,0,2,3,1.0,1.0,0.9,399.0,551.54,SAATHI,MODERATE,two_wheeler,Zepto
1,1,0,3,0,23064.206608050805,11.413270926350354,0,1,15,1.0,0.9,0.9,699.0,1017.62,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,2,0,3,0,19866.16627124666,8.341568665265989,2,0,8,1.25,0.9,0.9,699.0,823.58,RAKSHAK,HIGH,bicycle,Zomato
0,0,1,1,0,34832.919996735356,9.654858750780937,0,0,2,0.85,1.0,1.0,399.0,686.81,SAATHI,SAFE,two_wheeler,Zomato
2,1,1,1,0,20707.50500803854,6.601466576213976,3,0,2,1.0,1.0,1.0,999.0,1163.28,SURAKSHA,MODERATE,ev_two_wheeler,Zomato
1,0,0,2,0,27715.761531945893,10.167737439636488,0,2,6,0.85,0.9,0.95,699.0,841.32,RAKSHAK,SAFE,two_wheeler,Zepto
0,2,0,3,0,23490.72184499763,10.04440910834439,0,0,3,1.25,0.9,0.9,399.0,644.66,SAATHI,HIGH,two_wheeler,Zomato
2,1,2,3,0,36400.896525256096,10.429376615192915,0,3,11,1.0,1.15,0.9,999.0,1529.83,SURAKSHA,MODERATE,two_wheeler,Blinkit
1,0,0,1,0,34904.41344582981,10.885844666050748,0,1,6,0.85,0.9,1.0,699.0,938.44,RAKSHAK,SAFE,two_wheeler,Swiggy
0,1,0,1,1,21049.682096581146,8.15032497394693,0,0,8,1.0,0.9,1.0,399.0,684.94,SAATHI,MODERATE,two_wheeler,Zomato
0,0,0,1,0,29067.801351437112,8.021432185830893,0,2,21,0.85,0.9,1.0,399.0,786.54,SAATHI,SAFE,two_wheeler,Zepto
0,0,0,1,1,18777.54760232201,9.377084379247028,0,1,10,0.85,0.9,1.0,399.0,644.95,SAATHI,SAFE,two_wheeler,Swiggy
2,1,0,1,1,20981.841819208603,5.492148083198834,3,1,2,1.0,0.9,1.0,999.0,1069.09,SURAKSHA,MODERATE,ev_two_wheeler,Swiggy
1,1,1,1,0,38334.65140570891,7.180576168700179,0,2,6,1.0,1.0,1.0,699.0,1041.71,RAKSHAK,MODERATE,two_wheeler,Zepto
2,2,0,3,0,19303.21689525145,11.970029598063395,0,3,11,1.25,0.9,0.9,999.0,1369.26,SURAKSHA,HIGH,two_wheeler,Blinkit
1,2,0,2,1,36838.41987942328,10.239004366860991,0,0,23,1.25,0.9,0.95,699.0,1453.87,RAKSHAK,HIGH,two_wheeler,Zomato
1,0,0,1,0,31373.06553539541,9.215690076020804,3,0,8,0.85,0.9,1.0,699.0,903.6,RAKSHAK,SAFE,ev_two_wheeler,Zomato
0,0,1,2,1,30413.160984409613,8.546468826683773,0,3,11,0.85,1.0,0.95,399.0,840.26,SAATHI,SAFE,two_wheeler,Blinkit
0,1,2,2,0,26073.838606945377,8.615231077010872,3,2,0,1.0,1.15,0.95,399.0,630.48,SAATHI,MODERATE,ev_two_wheeler,Zepto
0,1,1,1,1,25158.4463917464,6.236482734374069,0,2,5,1.0,1.0,1.0,399.0,696.89,SAATHI,MODERATE,two_wheeler,Zepto
2,2,0,1,0,25587.83647973684,6.981494936752394,3,2,9,1.25,0.9,1.0,999.0,1404.72,SURAKSHA,HIGH,ev_two_wheeler,Zepto
2,1,0,2,0,19116.582173952687,6.36232470735151,0,3,16,1.0,0.9,0.95,999.0,1177.57,SURAKSHA,MODERATE,two_wheeler,Blinkit
